"filename", "language", "TOML", "Python", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\ryanp\Documents\Code\StreamlitTrainingApp\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 3
"c:\Users\ryanp\Documents\Code\StreamlitTrainingApp\app.py", "Python", 0, 13, 0, 0, 7, 11, 31
"c:\Users\ryanp\Documents\Code\StreamlitTrainingApp\dev.md", "Markdown", 0, 0, 95, 0, 0, 37, 132
"c:\Users\ryanp\Documents\Code\StreamlitTrainingApp\pages\Desktop.py", "Python", 0, 43, 0, 0, 0, 5, 48
"c:\Users\ryanp\Documents\Code\StreamlitTrainingApp\pages\Mobile.py", "Python", 0, 24, 0, 0, 7, 4, 35
"c:\Users\ryanp\Documents\Code\StreamlitTrainingApp\pages\Program Builder.py", "Python", 0, 16, 0, 0, 2, 9, 27
"c:\Users\ryanp\Documents\Code\StreamlitTrainingApp\pages\Program Library.py", "Python", 0, 27, 0, 0, 3, 9, 39
"c:\Users\ryanp\Documents\Code\StreamlitTrainingApp\pages\Settings.py", "Python", 0, 2, 0, 0, 0, 1, 3
"c:\Users\ryanp\Documents\Code\StreamlitTrainingApp\programs\mass_impact.json", "JSON", 0, 0, 0, 9509, 0, 0, 9509
"c:\Users\ryanp\Documents\Code\StreamlitTrainingApp\programs\mass_impact_template.json", "JSON", 0, 0, 0, 9509, 0, 0, 9509
"c:\Users\ryanp\Documents\Code\StreamlitTrainingApp\pyproject.toml", "TOML", 12, 0, 0, 0, 0, 1, 13
"c:\Users\ryanp\Documents\Code\StreamlitTrainingApp\src\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\ryanp\Documents\Code\StreamlitTrainingApp\src\backend\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\ryanp\Documents\Code\StreamlitTrainingApp\src\backend\auth_service.py", "Python", 0, 23, 0, 0, 6, 4, 33
"c:\Users\ryanp\Documents\Code\StreamlitTrainingApp\src\backend\firebase_init.py", "Python", 0, 19, 0, 0, 2, 7, 28
"c:\Users\ryanp\Documents\Code\StreamlitTrainingApp\src\backend\firestore.py", "Python", 0, 67, 0, 0, 15, 28, 110
"c:\Users\ryanp\Documents\Code\StreamlitTrainingApp\src\core\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\ryanp\Documents\Code\StreamlitTrainingApp\src\core\data_transform.py", "Python", 0, 35, 0, 0, 1, 7, 43
"c:\Users\ryanp\Documents\Code\StreamlitTrainingApp\src\core\login.py", "Python", 0, 29, 0, 0, 17, 12, 58
"c:\Users\ryanp\Documents\Code\StreamlitTrainingApp\src\core\save_program_to_firestore.py", "Python", 0, 26, 0, 0, 10, 6, 42
"c:\Users\ryanp\Documents\Code\StreamlitTrainingApp\src\core\state.py", "Python", 0, 8, 0, 0, 2, 10, 20
"c:\Users\ryanp\Documents\Code\StreamlitTrainingApp\src\ui\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\ryanp\Documents\Code\StreamlitTrainingApp\src\ui\components\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\ryanp\Documents\Code\StreamlitTrainingApp\src\ui\screens\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\ryanp\Documents\Code\StreamlitTrainingApp\src\ui\screens\program_builder\components\day_column.py", "Python", 0, 33, 0, 0, 5, 9, 47
"c:\Users\ryanp\Documents\Code\StreamlitTrainingApp\src\ui\screens\program_builder\desktop_dimensions_form.py", "Python", 0, 14, 0, 0, 0, 4, 18
"c:\Users\ryanp\Documents\Code\StreamlitTrainingApp\src\ui\screens\program_builder\desktop_movement_selection.py", "Python", 0, 23, 0, 0, 3, 13, 39
"c:\Users\ryanp\Documents\Code\StreamlitTrainingApp\src\ui\screens\program_builder\desktop_progressions.py", "Python", 0, 68, 0, 0, 30, 20, 118
